Brand,Model,KM_Driven,Fuel,Seller_Type,Transmission,Owner
Mahindra,Mahindra XUV500 W8 2WD,70000,Diesel,Individual,Manual,First Owner
Renault,Renault Duster 85PS Diesel RxL Optional,120000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing XO,58000,Petrol,Dealer,Manual,Second Owner
Mahindra,Mahindra Bolero 2011-2019 SLE,62200,Diesel,Dealer,Manual,First Owner
Audi,Audi A6 2.0 TDI Premium Plus,34000,Diesel,Dealer,Automatic,Second Owner
Fiat,Fiat Avventura MULTIJET Emotion,53000,Diesel,Individual,Manual,Second Owner
Audi,Audi A8 4.2 TDI,49000,Diesel,Dealer,Automatic,First Owner
Datsun,Datsun RediGO 1.0 S,15000,Petrol,Dealer,Manual,Second Owner
Volkswagen,Volkswagen Jetta 1.4 TSI Comfortline,50000,Petrol,Individual,Manual,First Owner
Audi,Audi A4 2.0 TDI 177 Bhp Premium Plus,53000,Diesel,Dealer,Automatic,First Owner
Honda,Honda Civic 1.8 V AT,63500,Petrol,Dealer,Automatic,First Owner
Mercedes-Benz,Mercedes-Benz E-Class Exclusive E 200 BSIV,9800,Petrol,Dealer,Automatic,First Owner
BMW,BMW X1 sDrive 20d xLine,13000,Diesel,Individual,Automatic,First Owner
Volvo,Volvo V40 D3 R Design,21000,Diesel,Dealer,Automatic,First Owner
Maruti,Maruti SX4 Zxi BSIII,29173,Petrol,Dealer,Manual,First Owner
BMW,BMW 7 Series 730Ld,48000,Diesel,Dealer,Automatic,First Owner
Mahindra,Mahindra Bolero Power Plus SLX,120000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Sonata CRDi M/T,100000,Diesel,Individual,Manual,First Owner
Nissan,Nissan Micra Active XV Petrol,30000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Xylo D4,87000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,15000,Petrol,Individual,Manual,First Owner
Renault,Renault KWID RXT,16000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Xylo E4 BS III,60000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Wagon R LXI Minor,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti,Maruti SX4 ZXI MT BSIV,110000,Petrol,Individual,Manual,Third Owner
Renault,Renault KWID RXT,25000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Creta 1.4 CRDi S,60000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Swift Dzire VDI,79350,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai Verna 1.6 VTVT AT S Option,80000,Petrol,Individual,Automatic,First Owner
Mahindra,Mahindra Scorpio LX BSIV,90000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti SX4 Vxi BSIII,90000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Ertiga VDI,120000,Diesel,Individual,Manual,Second Owner
Chevrolet,Chevrolet Beat Diesel,60000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Zen LX,50000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Baleno Delta 1.2,20000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Swift Vdi BSIII,110000,Diesel,Individual,Manual,Fourth & Above Owner
Tata,Tata Nano Lx BSIV,50000,Petrol,Individual,Manual,Second Owner
Toyota,Toyota Innova 2.5 GX (Diesel) 8 Seater,100000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Ertiga SHVS VDI,70000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai Creta 1.6 CRDi SX,70000,Diesel,Individual,Manual,Second Owner
Honda,Honda Amaze S i-Vtech,50000,Petrol,Individual,Manual,First Owner
Tata,Tata Indica Vista Aqua 1.4 TDI,81000,Diesel,Individual,Manual,Second Owner
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,120000,Diesel,Individual,Manual,Third Owner
Chevrolet,Chevrolet Cruze LTZ,3600,Diesel,Dealer,Manual,First Owner
Ford,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,14272,Petrol,Dealer,Manual,First Owner
Ford,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,49213,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai i10 Sportz 1.1L,40000,Petrol,Individual,Manual,First Owner
Maruti,Maruti 800 Std,40000,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet,Chevrolet Spark 1.0 LS,80000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai EON Era Plus,70000,Petrol,Individual,Manual,First Owner
Tata,Tata Indica Vista Aqua TDI BSIII,70000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Santro LP zipPlus,57000,Petrol,Individual,Manual,First Owner
Tata,Tata Bolt Quadrajet XE,120000,Diesel,Individual,Manual,First Owner
Maruti,Maruti 800 AC BSIII,30000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai EON Era Plus,3240,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai i20 Magna 1.2,5000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i20 1.2 Asta,10000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Ciaz VDi Plus,100000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 Asta 1.4 CRDi,80000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Santro LE,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Vitara Brezza VDi,35000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Santro Xing XL eRLX Euro III,114000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Getz 1.3 GLS,53772,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Quanto C8,140000,Diesel,Individual,Manual,Second Owner
Chevrolet,Chevrolet Tavera Neo 3 LS 7 C BSIII,120000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai EON Magna Plus,60000,Petrol,Individual,Manual,First Owner
Renault,Renault KWID RXT,25000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Wagon R DUO LPG,90000,LPG,Individual,Manual,First Owner
Maruti,Maruti Wagon R LXI,120000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,175000,Diesel,Individual,Manual,First Owner
Chevrolet,Chevrolet Spark 1.0 LS,100000,Petrol,Individual,Manual,Third Owner
Honda,Honda City i VTEC SV,36000,Petrol,Individual,Manual,First Owner
Honda,Honda Amaze VX i-DTEC,30000,Diesel,Individual,Manual,First Owner
Jaguar,Jaguar XJ 5.0 L V8 Supercharged,40000,Petrol,Individual,Automatic,Second Owner
Honda,Honda Brio E MT,70000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Swift VVT ZXI,60000,Petrol,Individual,Manual,First Owner
Tata,Tata Indigo CR4,155500,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i10 Asta AT,50000,Petrol,Individual,Automatic,Second Owner
Chevrolet,Chevrolet Beat LT,40000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Swift VDI BSIV,100000,Diesel,Individual,Manual,Third Owner
Maruti,Maruti Alto LXi,80000,Petrol,Individual,Manual,Third Owner
Chevrolet,Chevrolet Beat LT,90000,Petrol,Individual,Manual,Second Owner
Renault,Renault Duster 110PS Diesel RxZ,90000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai Santro Xing XG,110000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti Swift Dzire ZXI Plus,15000,Petrol,Individual,Manual,First Owner
Maruti,Maruti 800 AC,100000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Alto K10 LXI CNG,40000,CNG,Individual,Manual,First Owner
Maruti,Maruti 800 Std BSII,60000,Petrol,Individual,Manual,Second Owner
Tata,Tata Nano LX SE,25000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i20 Magna 1.2,25000,Petrol,Individual,Manual,First Owner
Skoda,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,23000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto K10 VXI,22155,Petrol,Individual,Manual,First Owner
Maruti,Maruti Ciaz 1.4 Delta,70000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LX,60000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai i20 Asta,110000,Petrol,Individual,Manual,Second Owner
Tata,Tata Nexon 1.2 Revotron XM,30000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Bolero Power Plus SLX,15000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Zen D,100000,Diesel,Individual,Manual,Second Owner
Volkswagen,Volkswagen Vento Celeste 1.5 TDI Highline AT,70000,Diesel,Individual,Automatic,First Owner
Maruti,Maruti Eeco 7 Seater Standard BSIV,24000,Petrol,Individual,Manual,First Owner
Honda,Honda City 1.5 EXI,120000,Petrol,Individual,Manual,Second Owner
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,35000,Diesel,Individual,Automatic,First Owner
Maruti,Maruti SX4 Zxi with Leather BSIII,78380,Petrol,Individual,Manual,First Owner
Renault,Renault Duster 110PS Diesel RxZ,110000,Diesel,Individual,Manual,Second Owner
Ford,Ford Figo Diesel Titanium,90000,Diesel,Individual,Manual,Third Owner
Ford,Ford Figo Diesel Titanium,90000,Diesel,Individual,Manual,Third Owner
Maruti,Maruti Swift Dzire VDi,150000,Diesel,Individual,Manual,Third Owner
Mahindra,Mahindra Xylo E4,230000,Diesel,Individual,Manual,Third Owner
Maruti,Maruti Esteem Vxi - BSIII,70000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti Swift VDI BSIV,80362,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 1.2 Sportz,110000,Petrol,Individual,Manual,Third Owner
Chevrolet,Chevrolet Beat Diesel LT,60000,Diesel,Individual,Manual,First Owner
Chevrolet,Chevrolet Cruze LTZ AT,50000,Diesel,Individual,Automatic,First Owner
Nissan,Nissan Micra XL,40000,Petrol,Individual,Manual,Second Owner
BMW,BMW 5 Series 520d Luxury Line,40000,Diesel,Individual,Automatic,First Owner
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,20000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai EON Era Plus Option,55000,Petrol,Dealer,Manual,First Owner
Fiat,Fiat Linea T Jet Emotion,1136,Petrol,Dealer,Manual,First Owner
Renault,Renault Scala RxL,55000,Petrol,Dealer,Manual,First Owner
Ford,Ford Figo Petrol Titanium,43000,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Ciaz ZDi SHVS,60000,Diesel,Individual,Manual,First Owner
Skoda,Skoda Rapid 1.5 TDI Ambition BSIV,2650,Diesel,Dealer,Manual,First Owner
Mahindra,Mahindra XUV500 W6 2WD,40000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra XUV300 W8 Option,15000,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Ertiga SHVS ZDI,115962,Diesel,Individual,Manual,Second Owner
Nissan,Nissan Terrano XE D,65000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti S-Cross Facelift,40000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 Magna 1.4 CRDi (Diesel),58000,Diesel,Dealer,Manual,First Owner
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,15000,Diesel,Individual,Automatic,First Owner
Hyundai,Hyundai EON Era Plus,54000,Petrol,Dealer,Manual,First Owner
Volkswagen,Volkswagen Ameo 1.5 TDI Highline,56000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Alto LX,120000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti Omni LPG CARGO BSIII W IMMOBILISER,90000,LPG,Individual,Manual,Second Owner
Maruti,Maruti Alto LX,70000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Verna i (Petrol),90000,Petrol,Individual,Manual,Second Owner
Mahindra,Mahindra Renault Logan 1.5 DLS,213000,Diesel,Individual,Manual,First Owner
Chevrolet,Chevrolet Optra Magnum 2.0 LS BSIII,120000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Scorpio S11 BSIV,20000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 Active 1.2 SX,10000,Petrol,Individual,Manual,First Owner
Maruti,Maruti SX4 Celebration Diesel,80000,Diesel,Individual,Manual,Second Owner
Hyundai,Hyundai Grand i10 Magna,90000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LXi BSIII,80000,Petrol,Individual,Manual,First Owner
Maruti,Maruti SX4 Zxi with Leather BSIII,60000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai i10 Era,139000,Petrol,Individual,Manual,Second Owner
Toyota,Toyota Innova 2.5 V Diesel 7-seater,160000,Diesel,Individual,Manual,Second Owner
Honda,Honda Mobilio V i DTEC,150000,Diesel,Individual,Manual,First Owner
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,163000,Diesel,Individual,Manual,Fourth & Above Owner
Tata,Tata Indica V2 2001-2011 DLS BSIII,120000,Diesel,Dealer,Manual,First Owner
Tata,Tata Indica Vista TDI LS,120000,Diesel,Individual,Manual,Second Owner
Chevrolet,Chevrolet Beat Diesel LS,100000,Diesel,Individual,Manual,Second Owner
Tata,Tata Zest Quadrajet 1.3 75PS XE,140000,Diesel,Dealer,Manual,First Owner
Skoda,Skoda Fabia 1.2L Diesel Ambiente,87000,Diesel,Dealer,Manual,Second Owner
Maruti,Maruti 800 Std,70000,Petrol,Individual,Manual,First Owner
Ford,Ford Figo Petrol Titanium,50000,Petrol,Individual,Manual,Second Owner
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,70000,Diesel,Individual,Manual,First Owner
Honda,Honda Mobilio V i DTEC,150000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 CRDi Asta,25000,Diesel,Individual,Manual,First Owner
Chevrolet,Chevrolet Beat Diesel LT,80000,Diesel,Individual,Manual,Second Owner
Datsun,Datsun GO Plus T Option Petrol,10000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,32000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Omni MPI STD BSIV,10000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Baleno Alpha 1.2,52000,Petrol,Dealer,Manual,First Owner
Ford,Ford Fiesta Classic 1.4 SXI Duratorq,120000,Diesel,Individual,Manual,Third Owner
Hyundai,Hyundai Elite i20 Asta Option BSIV,11240,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 CRDi Magna,66000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Ertiga SHVS ZDI,64000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Santro Xing GL Plus,49000,Petrol,Individual,Manual,First Owner
Tata,Tata Sumo GX TC 7 Str BSIII,100000,Diesel,Individual,Manual,Second Owner
Renault,Renault KWID RXT,26500,Petrol,Individual,Manual,First Owner
Maruti,Maruti 800 AC,100000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Vitara Brezza LDi Option,72000,Diesel,Dealer,Manual,First Owner
Honda,Honda Jazz S,50000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i20 1.4 Sportz,44000,Diesel,Dealer,Manual,First Owner
Maruti,Maruti Ertiga SHVS ZDI Plus,60000,Diesel,Individual,Manual,Second Owner
Tata,Tata Sumo SE Plus BSIII,120000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Xylo E4,130000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Swift ZDi BSIV,70000,Diesel,Individual,Manual,First Owner
Maruti,Maruti Ertiga VXI,20000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i20 1.4 Magna ABS,60000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Alto LXi,195000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Alto LXi,90000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Getz GL,80000,Petrol,Individual,Manual,Third Owner
Maruti,Maruti Wagon R LX BS IV,155000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Bolero Power Plus SLX,35000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai i20 1.2 Spotz,20000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Wagon R LXI Minor,80000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Alto 800 VXI,20000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i20 Asta (o),50000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai i20 Asta,110000,Petrol,Individual,Manual,Second Owner
Hyundai,Hyundai Verna 1.6 SX CRDi (O),29000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Xylo D2 BSIV,120000,Diesel,Individual,Manual,First Owner
Mahindra,Mahindra Bolero SLX 2WD BSIII,70000,Diesel,Individual,Manual,Second Owner
Maruti,Maruti Ertiga VXI ABS,40000,Petrol,Individual,Manual,First Owner
Honda,Honda Brio 1.2 E MT,20000,Petrol,Individual,Manual,First Owner
Toyota,Toyota Etios Liva G,50000,Petrol,Individual,Manual,Second Owner
Maruti,Maruti Alto 800 LXI,50000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Swift Dzire 1.2 Vxi BSIV,49000,Petrol,Individual,Manual,Second Owner
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,70000,Diesel,Individual,Automatic,Second Owner
Mahindra,Mahindra Bolero SLX,90000,Diesel,Individual,Manual,Second Owner
Mahindra,Mahindra XUV500 W11 Option AWD,25000,Diesel,Dealer,Manual,First Owner
Tata,Tata Tiago 1.2 Revotron XZ,4000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Marazzo M8 8Str,10000,Diesel,Individual,Manual,First Owner
Renault,Renault Duster 110PS Diesel RxL,15000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai EON Magna Plus,30000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Wagon R VXI,41000,Petrol,Dealer,Manual,First Owner
Chevrolet,Chevrolet Spark 1.0 LT,28000,Petrol,Individual,Manual,First Owner
Maruti,Maruti Baleno Alpha,16000,Petrol,Individual,Manual,First Owner
Hyundai,Hyundai EON 1.0 Kappa Magna Plus,70000,Petrol,Individual,Manual,First Owner
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,10832,Petrol,Dealer,Manual,First Owner
Ford,Ford Figo Aspire Facelift,14681,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai i10 Era,50000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Bolero SLX,51000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Verna 1.4 VTVT,25000,Petrol,Individual,Manual,First Owner
Chevrolet,Chevrolet Sail 1.2 LT ABS,30000,Petrol,Individual,Manual,First Owner
Honda,Honda City i-DTEC SV,80000,Diesel,Dealer,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,50000,Petrol,Individual,Manual,First Owner
Mahindra,Mahindra Bolero Power Plus Plus AC BSIV PS,200000,Diesel,Individual,Manual,First Owner
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz Option,44000,Petrol,Dealer,Manual,First Owner
Maruti,Maruti Baleno Sigma 1.2,10000,Petrol,Individual,Manual,First Owner
Tata,Tata Tiago 1.2 Revotron XZ,19600,Petrol,Individual,Manual,First Owner
Maruti,Maruti Wagon R LXI,40000,Petrol,Individual,Manual,Second Owner
Chevrolet,Chevrolet Beat Diesel LS,50000,Diesel,Individual,Manual,First Owner
Maruti,Maruti A-Star Vxi,46730,Petrol,Individual,Manual,First Owner
Datsun,Datsun GO A,40000,Petrol,Individual,Manual,Second Owner
