Brand,Model,Year,Selling_Price
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,2019,500000
Maruti,Maruti Alto LXi,2006,100000
Maruti,Maruti Swift Dzire VDI Optional,2017,725000
Maruti,Maruti Eeco 5 Seater AC BSIV,2018,401000
Hyundai,Hyundai i20 Sportz 1.4 CRDi,2018,750000
Maruti,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000
Maruti,Maruti Swift ZDi BSIV,2016,665000
Hyundai,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000
Maruti,Maruti Alto LXi,2012,160000
Mahindra,Mahindra Jeep CL 500 MDI,1996,250000
Honda,Honda City i DTEC VX,2014,675000
Maruti,Maruti Wagon R VXI BS IV,2013,300000
Tata,Tata Indica DLS,2005,70000
Hyundai,Hyundai EON Magna Plus,2014,240000
Toyota,Toyota Etios GD,2014,525000
Maruti,Maruti Alto LXi,2009,151000
Maruti,Maruti Alto LXi,2009,140000
Chevrolet,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000
Toyota,Toyota Corolla Altis Diesel D4DG,2011,350000
Mahindra,Mahindra Scorpio 1.99 S6 Plus,2017,570000
Hyundai,Hyundai EON Magna Plus,2018,300000
Tata,Tata Indigo Classic Dicor,2007,100000
Toyota,Toyota Innova 2.5 V Diesel 8-seater,2009,500000
Tata,Tata Indica Vista Quadrajet LS,2014,125000
Maruti,Maruti Swift 1.3 VXi,2006,130000
Ford,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000
Maruti,Maruti Ciaz 1.3 Delta,2018,750000
Honda,Honda Civic 1.8 V AT,2007,200000
Hyundai,Hyundai i10 Sportz 1.2,2010,248000
Skoda,Skoda Rapid 1.5 TDI Elegance,2014,450000
Hyundai,Hyundai Getz GLS,2005,80000
Nissan,Nissan Terrano XL,2014,650000
Hyundai,Hyundai Grand i10 CRDi Sportz,2015,450000
Hyundai,Hyundai Elite i20 Diesel Era,2019,650000
Honda,Honda Amaze S i-VTEC,2016,495000
Honda,Honda Brio S MT,2015,371000
Hyundai,Hyundai Creta 1.6 SX Option,2017,1025000
Mercedes-Benz,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000
Mahindra,Mahindra XUV500 W8 2WD,2015,750000
Renault,Renault Duster 85PS Diesel RxL Optional,2013,600000
Hyundai,Hyundai Santro Xing XO,2007,80000
Mahindra,Mahindra Bolero 2011-2019 SLE,2013,325000
Audi,Audi A6 2.0 TDI Premium Plus,2014,1470000
Fiat,Fiat Avventura MULTIJET Emotion,2015,350000
Audi,Audi A8 4.2 TDI,2013,2800000
Datsun,Datsun RediGO 1.0 S,2017,210000
Volkswagen,Volkswagen Jetta 1.4 TSI Comfortline,2013,450000
Audi,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000
Honda,Honda Civic 1.8 V AT,2009,210000
Mercedes-Benz,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000
BMW,BMW X1 sDrive 20d xLine,2017,2750000
Volvo,Volvo V40 D3 R Design,2018,1975000
Maruti,Maruti SX4 Zxi BSIII,2008,175000
BMW,BMW 7 Series 730Ld,2012,2500000
Mahindra,Mahindra Bolero Power Plus SLX,2017,628000
Hyundai,Hyundai Sonata CRDi M/T,2010,600000
Nissan,Nissan Micra Active XV Petrol,2017,399000
Mahindra,Mahindra Xylo D4,2018,750000
Hyundai,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000
Renault,Renault KWID RXT,2017,315000
Mahindra,Mahindra Xylo E4 BS III,2012,600000
Maruti,Maruti Wagon R LXI Minor,2010,100000
Maruti,Maruti SX4 ZXI MT BSIV,2011,250000
Renault,Renault KWID RXT,2017,350000
Hyundai,Hyundai Creta 1.4 CRDi S,2016,780000
Maruti,Maruti Swift Dzire VDI,2014,434000
Hyundai,Hyundai Verna 1.6 VTVT AT S Option,2016,690000
Mahindra,Mahindra Scorpio LX BSIV,2014,555000
Maruti,Maruti SX4 Vxi BSIII,2007,120000
Maruti,Maruti Ertiga VDI,2014,500000
Chevrolet,Chevrolet Beat Diesel,2013,165000
Maruti,Maruti Zen LX,2004,95000
Maruti,Maruti Baleno Delta 1.2,2018,550000
Maruti,Maruti Swift Vdi BSIII,2007,100000
Tata,Tata Nano Lx BSIV,2012,100000
Toyota,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000
Maruti,Maruti Ertiga SHVS VDI,2016,800000
Hyundai,Hyundai Creta 1.6 CRDi SX,2016,840000
Honda,Honda Amaze S i-Vtech,2016,490000
Tata,Tata Indica Vista Aqua 1.4 TDI,2010,125000
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000
Chevrolet,Chevrolet Cruze LTZ,2015,1000000
Ford,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000
Ford,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000
Hyundai,Hyundai i10 Sportz 1.1L,2015,229999
Maruti,Maruti 800 Std,1998,40000
Chevrolet,Chevrolet Spark 1.0 LS,2012,130000
Hyundai,Hyundai EON Era Plus,2015,200000
Tata,Tata Indica Vista Aqua TDI BSIII,2011,120000
Hyundai,Hyundai Santro LP zipPlus,2003,75000
Tata,Tata Bolt Quadrajet XE,2016,250000
Maruti,Maruti 800 AC BSIII,2005,100000
Hyundai,Hyundai EON Era Plus,2013,280000
Hyundai,Hyundai i20 Magna 1.2,2015,540000
Hyundai,Hyundai i20 1.2 Asta,2018,700000
Maruti,Maruti Ciaz VDi Plus,2015,525000
Hyundai,Hyundai i20 Asta 1.4 CRDi,2016,430000
Hyundai,Hyundai Santro LE,2002,65000
Maruti,Maruti Vitara Brezza VDi,2018,800000
Hyundai,Hyundai Santro Xing XL eRLX Euro III,2007,75000
Hyundai,Hyundai Getz 1.3 GLS,2008,210000
Mahindra,Mahindra Quanto C8,2012,195000
Chevrolet,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000
Hyundai,Hyundai EON Magna Plus,2012,170000
Renault,Renault KWID RXT,2016,225000
Maruti,Maruti Wagon R DUO LPG,2014,210000
Maruti,Maruti Wagon R LXI,2020,240000
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000
Chevrolet,Chevrolet Spark 1.0 LS,2011,99000
Honda,Honda City i VTEC SV,2014,620000
Honda,Honda Amaze VX i-DTEC,2013,500000
Jaguar,Jaguar XJ 5.0 L V8 Supercharged,2010,2550000
Honda,Honda Brio E MT,2013,260000
Maruti,Maruti Swift VVT ZXI,2017,550000
Tata,Tata Indigo CR4,2011,150000
Hyundai,Hyundai i10 Asta AT,2011,350000
Chevrolet,Chevrolet Beat LT,2016,320000
Maruti,Maruti Swift VDI BSIV,2015,400000
Maruti,Maruti Alto LXi,2012,175000
Chevrolet,Chevrolet Beat LT,2011,120000
Renault,Renault Duster 110PS Diesel RxZ,2013,320000
Hyundai,Hyundai Santro Xing XG,2006,70000
Maruti,Maruti Swift Dzire ZXI Plus,2019,810000
Maruti,Maruti 800 AC,2007,95000
Maruti,Maruti Alto K10 LXI CNG,2020,282000
Maruti,Maruti 800 Std BSII,2004,80000
Tata,Tata Nano LX SE,2013,72000
Hyundai,Hyundai i20 Magna 1.2,2016,600000
Skoda,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000
Maruti,Maruti Alto K10 VXI,2018,380000
Maruti,Maruti Ciaz 1.4 Delta,2018,650000
Maruti,Maruti Alto LX,2009,150000
Hyundai,Hyundai i20 Asta,2009,280000
Tata,Tata Nexon 1.2 Revotron XM,2018,430000
Mahindra,Mahindra Bolero Power Plus SLX,2019,800000
Maruti,Maruti Zen D,2003,75000
Volkswagen,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000
Maruti,Maruti Eeco 7 Seater Standard BSIV,2017,390000
Honda,Honda City 1.5 EXI,2005,100000
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,2013,1500000
Maruti,Maruti SX4 Zxi with Leather BSIII,2007,175000
Renault,Renault Duster 110PS Diesel RxZ,2012,434999
Ford,Ford Figo Diesel Titanium,2010,170000
Ford,Ford Figo Diesel Titanium,2011,190000
Maruti,Maruti Swift Dzire VDi,2009,250000
Mahindra,Mahindra Xylo E4,2009,229999
Maruti,Maruti Esteem Vxi - BSIII,2006,140000
Maruti,Maruti Swift VDI BSIV,2017,600000
Hyundai,Hyundai i20 1.2 Sportz,2012,280000
Chevrolet,Chevrolet Beat Diesel LT,2012,150000
Chevrolet,Chevrolet Cruze LTZ AT,2015,650000
Nissan,Nissan Micra XL,2014,210000
BMW,BMW 5 Series 520d Luxury Line,2017,2900000
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000
Hyundai,Hyundai EON Era Plus Option,2014,265000
Fiat,Fiat Linea T Jet Emotion,2018,890000
Renault,Renault Scala RxL,2013,365000
Ford,Ford Figo Petrol Titanium,2014,350000
Maruti,Maruti Ciaz ZDi SHVS,2016,685000
Skoda,Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000
Mahindra,Mahindra XUV500 W6 2WD,2017,1000000
Mahindra,Mahindra XUV300 W8 Option,2019,1150000
Maruti,Maruti Ertiga SHVS ZDI,2016,450000
Nissan,Nissan Terrano XE D,2015,590000
Maruti,Maruti S-Cross Facelift,2017,800000
Hyundai,Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000
Hyundai,Hyundai EON Era Plus,2012,235000
Volkswagen,Volkswagen Ameo 1.5 TDI Highline,2017,640000
Maruti,Maruti Alto LX,2006,52000
Maruti,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000
Maruti,Maruti Alto LX,2012,140000
Hyundai,Hyundai Verna i (Petrol),2008,120000
Mahindra,Mahindra Renault Logan 1.5 DLS,2008,89999
Chevrolet,Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000
Mahindra,Mahindra Scorpio S11 BSIV,2017,1500000
Hyundai,Hyundai i20 Active 1.2 SX,2017,700000
Maruti,Maruti SX4 Celebration Diesel,2012,285000
Hyundai,Hyundai Grand i10 Magna,2015,390000
Maruti,Maruti Alto LXi BSIII,2008,125000
Maruti,Maruti SX4 Zxi with Leather BSIII,2008,225000
Hyundai,Hyundai i10 Era,2011,175000
Toyota,Toyota Innova 2.5 V Diesel 7-seater,2011,1075000
Honda,Honda Mobilio V i DTEC,2014,300000
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000
Tata,Tata Indica V2 2001-2011 DLS BSIII,2009,90000
Tata,Tata Indica Vista TDI LS,2011,120000
Chevrolet,Chevrolet Beat Diesel LS,2012,220000
Tata,Tata Zest Quadrajet 1.3 75PS XE,2015,300000
Skoda,Skoda Fabia 1.2L Diesel Ambiente,2010,180000
Maruti,Maruti 800 Std,2013,170000
Ford,Ford Figo Petrol Titanium,2015,300000
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000
Honda,Honda Mobilio V i DTEC,2014,300000
Hyundai,Hyundai Grand i10 1.2 CRDi Asta,2018,465000
Chevrolet,Chevrolet Beat Diesel LT,2011,130000
Datsun,Datsun GO Plus T Option Petrol,2018,434999
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,2018,500000
Maruti,Maruti Omni MPI STD BSIV,2018,200000
Maruti,Maruti Baleno Alpha 1.2,2017,625000
Ford,Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000
Hyundai,Hyundai Elite i20 Asta Option BSIV,2019,800000
Hyundai,Hyundai Grand i10 CRDi Magna,2017,490000
Maruti,Maruti Ertiga SHVS ZDI,2017,880000
Hyundai,Hyundai Santro Xing GL Plus,2013,290000
Tata,Tata Sumo GX TC 7 Str BSIII,2006,115999
Renault,Renault KWID RXT,2018,360000
Maruti,Maruti 800 AC,2002,65000
Maruti,Maruti Vitara Brezza LDi Option,2017,685000
Honda,Honda Jazz S,2009,300000
Hyundai,Hyundai i20 1.4 Sportz,2017,680000
Maruti,Maruti Ertiga SHVS ZDI Plus,2017,1000000
Tata,Tata Sumo SE Plus BSIII,2002,100000
Mahindra,Mahindra Xylo E4,2010,160000
Maruti,Maruti Swift ZDi BSIV,2017,450000
Maruti,Maruti Ertiga VXI,2014,600000
Hyundai,Hyundai i20 1.4 Magna ABS,2009,180000
Maruti,Maruti Alto LXi,2007,100000
Maruti,Maruti Alto LXi,2010,120000
Hyundai,Hyundai Getz GL,2006,130000
Maruti,Maruti Wagon R LX BS IV,2011,160000
Mahindra,Mahindra Bolero Power Plus SLX,2019,860000
Hyundai,Hyundai i20 1.2 Spotz,2018,650000
Maruti,Maruti Wagon R LXI Minor,2010,100000
Maruti,Maruti Alto 800 VXI,2017,282000
Hyundai,Hyundai i20 Asta (o),2009,300000
Hyundai,Hyundai i20 Asta,2010,270000
Hyundai,Hyundai Verna 1.6 SX CRDi (O),2013,550000
Mahindra,Mahindra Xylo D2 BSIV,2013,450000
Mahindra,Mahindra Bolero SLX 2WD BSIII,2011,430000
Maruti,Maruti Ertiga VXI ABS,2013,350000
Honda,Honda Brio 1.2 E MT,2017,350000
Toyota,Toyota Etios Liva G,2013,229999
Maruti,Maruti Alto 800 LXI,2013,110000
Maruti,Maruti Swift Dzire 1.2 Vxi BSIV,2012,395000
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,2011,650000
Mahindra,Mahindra Bolero SLX,2011,350000
Mahindra,Mahindra XUV500 W11 Option AWD,2020,1400000
Tata,Tata Tiago 1.2 Revotron XZ,2018,360000
Mahindra,Mahindra Marazzo M8 8Str,2018,1300000
Renault,Renault Duster 110PS Diesel RxL,2015,800000
Hyundai,Hyundai EON Magna Plus,2018,229999
Maruti,Maruti Wagon R VXI,2014,315000
Chevrolet,Chevrolet Spark 1.0 LT,2012,125000
Maruti,Maruti Baleno Alpha,2019,700000
Hyundai,Hyundai EON 1.0 Kappa Magna Plus,2015,160000
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,2017,530000
Ford,Ford Figo Aspire Facelift,2018,624000
Hyundai,Hyundai i10 Era,2009,250000
Mahindra,Mahindra Bolero SLX,2016,585000
Hyundai,Hyundai Verna 1.4 VTVT,2015,500000
Chevrolet,Chevrolet Sail 1.2 LT ABS,2014,350000
Honda,Honda City i-DTEC SV,2014,495000
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,2017,500000
Mahindra,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,430000
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz Option,2013,345000
Maruti,Maruti Baleno Sigma 1.2,2015,500000
Tata,Tata Tiago 1.2 Revotron XZ,2019,425000
Maruti,Maruti Wagon R LXI,2005,80000
Chevrolet,Chevrolet Beat Diesel LS,2011,106000
Maruti,Maruti A-Star Vxi,2009,180000
Datsun,Datsun GO A,2015,250000
Skoda,Skoda Yeti Ambition 4WD,2011,350000
Maruti,Maruti Zen LXi BSII,2002,60000
Hyundai,Hyundai Verna CRDi 1.6 EX,2018,900000
Ford,Ford Aspire Titanium Diesel BSIV,2017,700000
BMW,BMW 3 Series 320d Sport,2013,2000000
Maruti,Maruti Ertiga SHVS ZDI Plus,2017,1000000
BMW,BMW X1 sDrive 20d Exclusive,2011,1375000
Toyota,Toyota Innova Crysta 2.4 VX MT,2016,1800000
Chevrolet,Chevrolet Tavera Neo 3 10 Seats BSIV,2007,160000
Mitsubishi,Mitsubishi Outlander 2.4,2012,525000
Mahindra,Mahindra XUV500 W8 2WD,2012,850000
Maruti,Maruti Baleno Alpha 1.3,2019,800000
Ford,Ford Figo Aspire 1.5 TDCi Titanium,2017,700000
Maruti,Maruti Swift Dzire VDI,2018,800000
Hyundai,Hyundai i20 1.2 Spotz,2017,575000
Renault,Renault Duster 110PS Diesel RxZ,2012,350000
Maruti,Maruti Swift Vdi BSIII,2008,250000
Ford,Ford Endeavour Titanium 4X2,2011,600000
Mahindra,Mahindra Scorpio 2.6 Turbo 9 Str,2007,370000
Maruti,Maruti Baleno Vxi,2006,80000
Tata,Tata Indica DLX,2003,50000
Hyundai,Hyundai Verna CRDi 1.6 EX,2018,900000
Maruti,Maruti Wagon R VXI BS IV,2014,300000
Tata,Tata Indica LSI,2002,125000
Maruti,Maruti Swift Dzire VDI,2015,490000
Toyota,Toyota Etios Liva GD,2012,300000
Tata,Tata Nano STD,2013,55000
Hyundai,Hyundai Grand i10 Sportz,2016,350000
Hyundai,Hyundai Grand i10 1.2 CRDi Asta,2019,755000
Maruti,Maruti Ertiga SHVS VDI,2017,720000
Mahindra,Mahindra Bolero SLX,2006,229999
Mahindra,Mahindra Scorpio S7 140 BSIV,2018,1100000
Volkswagen,Volkswagen Polo Petrol Comfortline 1.2L,2013,400000
Hyundai,Hyundai Xcent 1.1 CRDi Base,2015,350000
Chevrolet,Chevrolet Beat Diesel PS,2012,159000
Maruti,Maruti Swift ZXi BSIV,2017,550000
Maruti,Maruti Ritz VDi,2013,335000
Tata,Tata Indigo CS Emax CNG GLX,2014,185000
Maruti,Maruti Eeco 5 STR With AC Plus HTR CNG,2012,229999
Maruti,Maruti Estilo LXI,2014,225000
Maruti,Maruti Swift VXI with ABS,2007,250000
Tata,Tata Zest Quadrajet 1.3 XM,2015,400000
Maruti,Maruti Swift VDI BSIV,2014,470000
Maruti,Maruti Alto K10 VXI AGS Optional,2018,300000
Maruti,Maruti Alto LX,2011,145000
Maruti,Maruti SX4 Vxi BSIII,2007,100000
Mahindra,Mahindra Scorpio SLE BSIV,2014,500000
Hyundai,Hyundai Santro Xing GLS CNG,2010,130000
Chevrolet,Chevrolet Cruze LTZ,2010,240000
Ford,Ford Figo Diesel Celebration Edition,2013,150000
Renault,Renault KWID RXT Optional,2017,270000
Maruti,Maruti Swift Dzire VDI,2014,400000
Hyundai,Hyundai EON Era Plus,2012,200000
Mahindra,Mahindra XUV500 W6 2WD,2012,550000
Renault,Renault KWID 1.0 RXT Optional,2018,325000
Skoda,Skoda Rapid 1.5 TDI AT Style BSIV,2017,860000
Mahindra,Mahindra XUV500 W8 2WD,2012,600000
Chevrolet,Chevrolet Spark 1.0,2009,125000
Maruti,Maruti 800 AC,2000,60000
Chevrolet,Chevrolet Tavera Neo 3 10 Seats BSIV,2010,300000
Ford,Ford Fiesta 1.6 ZXi Duratec,2007,190000
Maruti,Maruti Ertiga VDI,2013,400000
Tata,Tata Manza Aura Quadrajet BS IV,2011,260000
Maruti,Maruti Swift VVT VXI,2017,400000
Hyundai,Hyundai i20 Sportz Petrol,2010,250000
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,2019,600000
Maruti,Maruti Zen Estilo VXI BSIV,2010,175000
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,450000
Tata,Tata Tiago 1.2 Revotron XZA,2019,350000
Maruti,Maruti Vitara Brezza ZDi,2018,800000
Maruti,Maruti Swift VXI BSIII,2011,250000
Maruti,Maruti Swift VXI BSIV,2019,600000
Maruti,Maruti Swift VDI BSIV,2017,600000
Maruti,Maruti Alto 800 LXI,2016,130000
Maruti,Maruti Wagon R LXI,2006,90000
Hyundai,Hyundai i20 Active 1.2 S,2017,595000
Hyundai,Hyundai EON Era Plus,2014,190000
Hyundai,Hyundai Santro GLS I - Euro I,1999,50000
Maruti,Maruti Wagon R LXI Minor,2007,95000
Tata,Tata Safari Storme VX,2016,1000000
Mahindra,Mahindra Scorpio REV 116,2006,220000
Mahindra,Mahindra Bolero SLX,2010,400000
Datsun,Datsun GO Plus A,2015,315000
Toyota,Toyota Fortuner 4x4 MT,2014,1000000
Ford,Ford Ecosport 1.5 DV5 MT Titanium,2014,500000
Mahindra,Mahindra XUV500 W11 AT BSIV,2018,1600000
Mahindra,Mahindra Supro VX 8 Str,2017,500000
Maruti,Maruti Alto LX,2007,70000
Maruti,Maruti 800 AC,2007,105000
Ford,Ford Endeavour 2.5L 4X2 MT,2008,400000
Maruti,Maruti Wagon R LXI,2004,80000
Maruti,Maruti Alto 800 VXI,2016,300000
Mahindra,Mahindra KUV 100 D75 K2,2017,409999
Maruti,Maruti Swift Glam,2009,250000
Tata,Tata New Safari DICOR 2.2 EX 4x2,2010,250000
Maruti,Maruti Swift Dzire VDI,2012,215000
Toyota,Toyota Fortuner 4x4 MT,2015,1400000
Honda,Honda Brio 1.2 VX MT,2018,475000
Honda,Honda Brio 1.2 VX MT,2018,475000
Chevrolet,Chevrolet Spark 1.0 LS,2008,75000
Chevrolet,Chevrolet Sail Hatchback LS ABS,2013,200000
Tata,Tata Tiago NRG Petrol,2019,575000
Maruti,Maruti Ritz VDi,2011,150000
Maruti,Maruti Vitara Brezza ZDi Plus,2018,850000
Hyundai,Hyundai Santro Era,2019,350000
Ford,Ford Endeavour 2.5L 4X2 MT,2011,550000
Hyundai,Hyundai Verna 1.4 VTVT,2017,330000
Honda,Honda City i-DTEC V,2017,1044999
Hyundai,Hyundai Verna 1.6 CRDI,2011,300000
Hyundai,Hyundai EON D Lite Plus,2015,235000
Ford,Ford Figo Petrol Titanium,2011,120000
Maruti,Maruti Wagon R VXI,2004,130000
Ford,Ford Endeavour 4x4 XLT,2004,275000
Volkswagen,Volkswagen Jetta 2.0 TDI Trendline,2011,270000
Volkswagen,Volkswagen Polo 1.5 TDI Highline,2015,500000
Hyundai,Hyundai Grand i10 Sportz,2015,400000
Hyundai,Hyundai i20 Asta 1.2,2015,600000
Audi,Audi Q5 2.0 TDI,2012,1350000
Renault,Renault Duster 85PS Diesel RxE,2013,400000
Ford,Ford Figo Diesel Titanium,2011,220000
Honda,Honda Brio E MT,2012,300000
Maruti,Maruti Omni E MPI STD BS IV,2018,250000
Honda,Honda Mobilio V i DTEC,2015,600000
Honda,Honda Brio S Option AT,2012,285000
Honda,Honda Accord 2.4 MT,2009,350000
Mahindra,Mahindra Bolero SLX,2011,170000
Ford,Ford Figo 1.2P Ambiente MT,2015,229999
Mahindra,Mahindra XUV500 W6 2WD,2013,500000
Tata,Tata Nano Lx,2011,75000
Hyundai,Hyundai i20 Active 1.2 SX,2016,600000
Tata,Tata Indigo LS Dicor,2011,220000
Tata,Tata Indica Vista Terra 1.4 TDI,2009,150000
Maruti,Maruti Alto LX,2006,65000
Maruti,Maruti Zen VXI,2006,120000
Maruti,Maruti Swift Dzire VDI,2014,240000
Renault,Renault KWID 1.0 RXT Optional,2017,390000
Chevrolet,Chevrolet Beat LS,2012,180000
Maruti,Maruti Swift VDI,2012,320000
Maruti,Maruti Alto 800 LXI,2018,310000
Maruti,Maruti Wagon R AMT VXI,2018,420000
Tata,Tata Tiago NRG Petrol,2019,550000
Maruti,Maruti Ertiga SHVS VDI,2016,550000
Mahindra,Mahindra TUV 300 T4 Plus,2018,760000
Maruti,Maruti 800 AC BSII,2001,43000
Maruti,Maruti Omni MPI STD BSIV,2018,250000
Hyundai,Hyundai Santro Magna BSIV,2019,500000
Tata,Tata Zest Revotron 1.2 XT,2015,380000
Mahindra,Mahindra XUV500 W11 Option AT AWD,2019,1850000
Volkswagen,Volkswagen Polo Diesel Trendline 1.2L,2012,350000
Hyundai,Hyundai Verna CRDi,2008,195000
Chevrolet,Chevrolet Beat LS,2011,225000
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1125000
Tata,Tata Indica Vista Quadrajet LX,2011,133000
Hyundai,Hyundai EON Era Plus,2013,200000
Maruti,Maruti Vitara Brezza ZDi Plus,2018,940000
Renault,Renault Duster 85PS Diesel RxL,2014,400000
Hyundai,Hyundai i10 Era 1.1,2009,120000
Maruti,Maruti Swift Dzire ZDI,2015,625000
Maruti,Maruti Swift 1.3 VXi,2005,110000
Renault,Renault Duster 110PS Diesel RxZ,2012,490000
Maruti,Maruti Alto LX,2009,140000
Ford,Ford Figo Diesel ZXI,2011,175000
Maruti,Maruti Wagon R LXI BSIII,2005,90000
Maruti,Maruti Swift Ldi BSIV,2009,275000
Volkswagen,Volkswagen Vento Diesel Highline,2011,300000
Datsun,Datsun GO Plus T Option BSIV,2018,270000
Chevrolet,Chevrolet Beat LT,2010,130000
Maruti,Maruti Alto K10 VXI Airbag,2015,275000
Maruti,Maruti Swift VDI,2012,352000
Hyundai,Hyundai EON LPG Magna Plus,2012,180000
Maruti,Maruti Alto LX,2012,150000
Volkswagen,Volkswagen Vento Diesel Highline,2011,300000
Maruti,Maruti Swift Vdi BSIII,2010,300000
Mahindra,Mahindra Bolero DI DX 7 Seater,2007,225000
Honda,Honda Mobilio V i DTEC,2014,600000
Maruti,Maruti Ertiga BSIV ZXI,2015,500000
Honda,Honda BR-V i-VTEC S MT,2018,900000
Hyundai,Hyundai i20 Magna 1.2,2016,600000
